name,age,coffee
Sara Clark,43,밀크 라떼
Jennifer Brooks,43,바닐라
Erin Reyes,65,모카
Mary Cox,52,아메리카노
Joel Owens,32,아메리카노
David Johnson,24,디카페인
Micheal Morales,64,밀크 라떼
Sarah Montoya,49,바닐라
Chelsea Pugh,48,라떼
Katie Hobbs,52,라떼
John Smith,67,디카페인
Jocelyn Sanchez,38,아메리카노
Michael Vargas,28,바닐라
Megan Smith,18,밀크 라떼
Christine Henry,60,라떼
Dustin Wilson,26,모카
Matthew Alvarado,10,아메리카노
Mary Roberts,40,아메리카노
Riley Carter,20,디카페인
Pamela Donovan,67,바닐라
Thomas Olsen,12,아메리카노
Joann Shaw,11,바닐라
Mary Parrish,70,라떼
Steven Cook,48,바닐라
Amy York,57,라떼
Veronica Ramos,20,라떼
Brandon Rivera,18,라떼
James Burke,35,맥심
David Brown,61,모카
Chelsea Frey,32,아메리카노
Emily Bradley,22,모카
Jessica Brooks,37,바닐라
Steven Powers,16,라떼
James Moyer,15,아메리카노
Stacey Mclean,54,아메리카노
Ricky Love,39,라떼
Ryan Clark,41,디카페인
Dale Martinez,18,바닐라
Mrs. Jenna Miller MD,26,라떼
Margaret Jennings,18,맥심
Corey Leonard,15,맥심
Arthur Arnold,59,모카
Charles Johnson,28,밀크 라떼
Cameron Howard,67,디카페인
Rachel Sloan,55,라떼
John Pierce,58,라떼
Benjamin Ross,16,아메리카노
Anna Stanley,70,맥심
Lisa Thompson,17,아메리카노
Adam Johnson,47,디카페인
Danny Thomas,30,라떼
Kenneth Daniels,23,디카페인
Lisa Porter,21,아메리카노
Tony Davis,16,바닐라
Ronnie Hays,36,바닐라
Gregory Anderson,28,아메리카노
Jessica Gentry,11,밀크 라떼
Susan Sanchez,32,모카
Jennifer Munoz,24,밀크 라떼
Susan Simmons,37,밀크 라떼
Kristen Greene,46,디카페인
Steven Archer,65,바닐라
Kaitlyn Wagner MD,55,라떼
Patrick Graham,49,맥심
Taylor Henderson,39,아메리카노
Dakota Fox,48,디카페인
Julie Chambers,37,밀크 라떼
Victoria Allen,62,라떼
Emily Parker,25,라떼
Melanie Mills,60,바닐라
Toni Kelly,58,디카페인
Dawn Williams,14,밀크 라떼
Kimberly Gomez,65,밀크 라떼
Brittany Christensen,66,디카페인
Dr. Lynn Montgomery,29,라떼
Timothy Fisher,14,바닐라
Edwin Cox,28,디카페인
Aaron Carter PhD,23,아메리카노
Bryce Hutchinson,16,밀크 라떼
Lisa Moore,15,라떼
Jeffrey Mccarthy,28,라떼
Gregory Leon,31,디카페인
Erika Lara,31,밀크 라떼
Victoria Lewis,22,바닐라
Alexis Simmons,61,밀크 라떼
April Cortez,10,디카페인
Natalie Quinn,56,밀크 라떼
Kenneth Brewer,22,바닐라
David Nguyen,57,맥심
Travis Carey,27,밀크 라떼
Teresa Carlson,13,라떼
Brittany Nelson,46,아메리카노
Rachael Holmes,64,디카페인
Paul Valencia,58,디카페인
Robin Mooney,41,모카
Amber Green,31,모카
Jamie Salazar,34,밀크 라떼
Paul Schmidt,33,밀크 라떼
John Hancock,61,모카
Nicholas Shaw,17,디카페인
Emily Mendoza,31,디카페인
Christopher Davis,50,밀크 라떼
Edward Taylor,24,밀크 라떼
Jessica Anderson,50,바닐라
Charles Berry,27,바닐라
Christopher Harris,24,아메리카노
Ashley Schmidt,13,라떼
Kelly Blanchard,62,바닐라
Pamela Morales,43,디카페인
Terry Murphy,37,라떼
Michael Turner,29,라떼
