movie,popcorn,name,age,drink,times,snacks,payments
웡카,일반,장승민,20,물,일반,나초,현금
위시,치즈,곽영식,60,물,조조,구매 안함,카카오 페이
도그맨,구매 안함,강영호,20,에이드,일반,구매 안함,카카오 페이
웡카,치즈,이예은,30,콜라,일반,오징어,신용 카드
웡카,구매 안함,김경자,20,에이드,일반,구매 안함,신용 카드
시민 덕희,치즈,권정자,30,물,조조,핫도그,삼성 페이
외계인,구매 안함,박성현,20,물,일반,구매 안함,삼성 페이
위시,구매 안함,이은지,50,환타,일반,구매 안함,현금
외계인,구매 안함,박영식,30,제로 콜라,일반,구매 안함,삼성 페이
시민 덕희,어니언,이재호,30,제로 콜라,일반,오징어,신용 카드
외계인,카라멜,이영일,30,에이드,조조,오징어,신용 카드
도그맨,구매 안함,심예준,20,아메리카노,일반,구매 안함,삼성 페이
웡카,어니언,박현준,30,사이다,조조,구매 안함,신용 카드
웡카,구매 안함,김예은,50,아메리카노,일반,맛밤,신용 카드
웡카,구매 안함,김정희,20,환타,조조,구매 안함,삼성 페이
시민 덕희,구매 안함,김수진,30,제로 콜라,심야,핫도그,신용 카드
도그맨,구매 안함,이정자,30,제로 콜라,일반,나초,신용 카드
웡카,구매 안함,박미경,30,환타,일반,나초,신용 카드
웡카,구매 안함,김지아,30,아메리카노,조조,구매 안함,신용 카드
웡카,구매 안함,손민재,30,물,심야,구매 안함,삼성 페이
시민 덕희,일반,서영숙,20,사이다,일반,구매 안함,삼성 페이
웡카,구매 안함,이채원,50,아메리카노,조조,구매 안함,신용 카드
너의 이름은,어니언,신정수,20,콜라,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,김승현,20,환타,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,김영식,60,물,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,홍명숙,20,물,조조,구매 안함,신용 카드
도그맨,치즈,권성현,20,제로 콜라,일반,구매 안함,카카오 페이
시민 덕희,구매 안함,나지혜,50,물,일반,구매 안함,삼성 페이
웡카,구매 안함,이영수,20,제로 콜라,일반,구매 안함,신용 카드
시민 덕희,일반,임경자,30,아메리카노,조조,오징어,신용 카드
웡카,일반,이은서,20,물,일반,맛밤,신용 카드
시민 덕희,어니언,우현우,40,물,일반,나초,신용 카드
시민 덕희,구매 안함,김정웅,20,제로 콜라,일반,나초,삼성 페이
시민 덕희,구매 안함,하영길,30,물,일반,구매 안함,카카오 페이
위시,치즈,강미영,40,콜라,일반,오징어,삼성 페이
시민 덕희,구매 안함,서동현,20,콜라,일반,구매 안함,신용 카드
웡카,구매 안함,백재현,20,콜라,일반,오징어,신용 카드
웡카,구매 안함,최성훈,20,물,일반,구매 안함,신용 카드
외계인,일반,이지훈,30,환타,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,윤주원,20,구매 안함,일반,핫도그,카카오 페이
시민 덕희,카라멜,이경자,20,구매 안함,일반,구매 안함,신용 카드
도그맨,카라멜,이경자,30,구매 안함,일반,구매 안함,삼성 페이
웡카,일반,유서준,60,콜라,일반,구매 안함,삼성 페이
웡카,일반,김진우,20,구매 안함,일반,구매 안함,신용 카드
시민 덕희,어니언,곽민석,20,사이다,일반,구매 안함,현금
웡카,구매 안함,김정훈,50,구매 안함,일반,구매 안함,신용 카드
웡카,일반,김경자,30,제로 콜라,일반,핫도그,신용 카드
외계인,카라멜,권혜진,30,에이드,일반,맛밤,신용 카드
시민 덕희,구매 안함,김민지,40,아메리카노,조조,구매 안함,신용 카드
시민 덕희,치즈,박정수,20,환타,일반,구매 안함,체크 카드
